"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
89,"M113   UP85AGT0966","Primary - Auto Tipper",532,"W13R1","13","12.40","4.78","27.94","38.50%","08:02 AM","11:54 AM","3:52"
90,"M101  UP85AG0751","Primary - Auto Tipper",512,"W16R2","18","6.03","2.32","23.67","38.44%","08:11 AM","11:04 AM","2:52"
91,"M098   UP85AGT0956","Primary - Auto Tipper",569,"W51R1","51","15.21","5.74","31.39","37.71%","08:03 AM","01:36 PM","5:33"
92,"M277 UP85ET 7842","Primary - Auto Tipper",515,"W21R1","21","18.84","7.00","22.86","37.14%","08:01 AM","12:36 PM","4:35"
93,"M200 UP85AG0968","Primary - Auto Tipper",590,"W69R1","69","7.61","2.81","28.92","36.88%","08:02 AM","09:19 AM","1:16"
94,"M013 UP14PT7750","Primary - Auto Tipper",705,"W5R2","5","1.60","0.59","42.63","36.75%","08:47 AM","12:38 PM","3:51"
95,"MR044-70147541","Primary - Manual Rickshaw",679,"W53MR1","53","1.13","0.40","3.57","35.67%","06:55 AM","10:22 AM","3:26"
96,"M065 UP85AG0888","Primary - Auto Tipper",546,"W38R1","38","10.28","3.66","20.21","35.59%","07:51 AM","10:32 AM","2:41"
97,"M016 UP14PT7747","Primary - Auto Tipper",692,"W56R3","56","0.93","0.33","35.35","35.41%","07:36 AM","11:31 AM","3:55"
98,"RJ06GD5309","Primary - Auto Tipper",708,"W64R2","19","0.81","0.29","4.27","35.14%","07:53 AM","10:21 AM","2:27"
99,"M078   UP85AG0757","Primary - Auto Tipper",409,"W16R5","4","10.11","3.53","29.05","34.94%","08:00 AM","12:36 PM","4:35"
100,"M200 UP85AG0968","Primary - Auto Tipper",567,"W13R2","69","5.85","2.03","28.92","34.76%","10:29 AM","11:45 AM","1:16"
101,"M020 UP14PT7998","Primary - Auto Tipper",550,"W41R1","41","11.04","3.81","33.88","34.48%","08:34 AM","11:29 AM","2:54"
102,"M056 UP85AG0963","Primary - Auto Tipper",548,"W39R1","39","8.39","2.86","41.02","34.03%","08:53 AM","11:53 AM","3:00"
103,"M236 UP85ET 7830","Primary - Auto Tipper",563,"W47R1","47","5.71","1.94","20.90","34.02%","08:30 AM","12:21 PM","3:51"
104,"M223 UP85AG0959","Primary - Auto Tipper",673,"W44R2","6","8.51","2.87","29.12","33.72%","08:50 AM","11:01 AM","2:10"
