"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"92","1","M072   UP85AG0803","Primary - Auto Tipper","23-Aheer Pada","1","RC Sonveer","10-01-2026","11:47 AM","11:53 AM","W23R1","6"
"93","1","M072   UP85AG0803","Primary - Auto Tipper","23-Aheer Pada","1","Mathura MSW Plant","10-01-2026","02:54 PM","02:55 PM","W23R1","1"
"94","3","M060 UP85AG0881","Primary - Auto Tipper","41-Dhaulipiau","2","Mathura MSW Plant","10-01-2026","10:27 AM | 11:59 AM","10:28 AM | 12:01 PM","W41R2","1"
"95","3","M057 UP85AG0774","Primary - Auto Tipper","15-Maholi First","1","Mathura MSW Plant","10-01-2026","02:08 PM","02:12 PM","W15R2","4"
"96","2","M056 UP85AG0963","Primary - Auto Tipper","39-Mahavidhya Colony","2","Mathura MSW Plant","10-01-2026","08:10 AM | 12:14 PM","08:11 AM | 12:17 PM","W39R1","1"
"97","1","M054 UP14PT7728","Primary - Auto Tipper","65-Holi Gali","2","Mathura MSW Plant","10-01-2026","10:40 AM | 12:38 PM","10:44 AM | 12:39 PM","W65R3","2"
"98","1","M045  UP85AG0890_C","Primary - Auto Tipper","49-Daimpiriyal Nagar","1","Mathura MSW Plant","10-01-2026","11:37 AM","11:38 AM","W49R4","1"
"99","2","M039 UP14PT7949","Primary - Auto Tipper","31-Navneet Nagar","1","Mathura MSW Plant","10-01-2026","11:53 AM","11:54 AM","W31R3","1"
"100","2","M038 UP14PT7753","Primary - Auto Tipper","44-Radhika Bihar","1","Mathura MSW Plant","10-01-2026","12:17 PM","12:18 PM","W49R2","1"
"101","2","M036 UP14PT8105_C","Primary - Auto Tipper","43-Ganeshra","1","Mathura MSW Plant","10-01-2026","12:18 PM","12:20 PM","W43R3,W43R2","1"
"102","3","M027 UP14PT8097","Primary - Auto Tipper","10-Aurangabad First","2","Mathura MSW Plant","10-01-2026","10:39 AM | 02:42 PM","10:41 AM | 02:43 PM","W28R1,W18R2","1"
"103","1","M024 UP14PT7999","Primary - Auto Tipper","42-Manoharpur","1","Mathura MSW Plant","10-01-2026","11:14 AM","11:17 AM","W38R2,W48R2","3"
"104","1","M023 UP14PT7726","Primary - Auto Tipper","19-Ramnagar Yamunapar","1","Mathura MSW Plant","10-01-2026","11:00 AM","11:01 AM","","1"
"105","4","M022 UP14PT7993_C","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","10-01-2026","02:03 PM","02:08 PM","W21R5","5"
"106","2","M019 UP14PT7945","Primary - Auto Tipper","36-Jaisingh Pura","1","Mathura MSW Plant","10-01-2026","10:31 AM","10:32 AM","W36R2","1"
"107","2","M017 UP14PT7724","Primary - Auto Tipper","46-Radha Nagar","2","Mathura MSW Plant","10-01-2026","10:19 AM | 12:44 PM","10:20 AM | 12:45 PM","W55R3","1"
"108","2","M016 UP14PT7747","Primary - Auto Tipper","56-Mandi Randas","2","Mathura MSW Plant","10-01-2026","10:22 AM | 12:11 PM","10:24 AM | 12:15 PM","W56R3","2"
"109","1","M013 UP14PT7750","Primary - Auto Tipper","05-Bharatpur Gate","1","Mathura MSW Plant","10-01-2026","11:30 AM","11:33 AM","W5R2,W32R3","2"
"110","2","M009 UP14PT7717","Primary - Auto Tipper","30-Krishna Nagar Second","1","Mathura MSW Plant","10-01-2026","10:57 AM","10:58 AM","W30R1","1"
"111","3","HYVA6028","Secondary - Dumper","01-Birjapur","1","Mathura MSW Plant","10-01-2026","12:49 PM","12:56 PM","","6"
"112","4","DL51GD9456","Primary - Three Wheeler (ER)","51-Gaushala Nagar","2","FCTS PLANT","10-01-2026","08:08 AM | 09:25 AM","08:11 AM | 09:26 AM","W51ER5","1"
"113","4","DL51GD9441","Primary - Three Wheeler (ER)","34-Radhaniwas","2","FCTS PLANT","10-01-2026","09:32 AM | 10:54 AM","09:35 AM | 11:10 AM","W34R3","9"
